NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mjupiter,au,day,,deg,jd,m/s,,,,
Kepler-107 d,,0.0780099,7.958203,,90,2454970.79968,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-427 b,0.310432,0.091351,10.290994,0,90,2454970.02207,29.8,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B
WASP-14 b,7.65457,0.0367693,2.243752,0.091,253.371,2454462.3304,993,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J
Kepler-50 b,,0.0825598,7.8125124,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B
NN Ser d,0.642621,3.70596,2605,0.05,152,2458029,9.5,Horner 2012,http://adsabs.harvard.edu/abs/2012MNRAS.425..749H,Beuermann 2010,http://adsabs.harvard.edu/abs/2010A%26A...521L..60B
Kepler-20 b,0.0266149,0.0453704,3.6961219,0,79.2157,2454966.34,3.72,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B
HAT-P-27 b,0.615135,0.0399488,3.039577,0,90,2455407.9088,91.2,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A
Kepler-181 b,,0.0419466,3.137873,,90,2454966.5556199998,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 116029 b,1.9075,1.64869,670,0,40,2455220,36.6,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
Kepler-207 b,,0.0269045,1.611865,,90,2454966.57041,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 219828 b,0.0622185,0.0515012,3.8334999,0,0,2453898.629,7,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M
